L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
10,40,3,0.05,0.7,1,0.18947368421052632,0.047619047619047616,1050001,True,0.14209157894735033
40,20,3,0.5,0.3,6,0.94,0.16666666666666669,1000001,True,0.0
40,20,3,0.5,0.3,7,0.97375,0.07692307692307693,1000001,True,0.0
10,40,3,0.05,0.7,3,0.15789473684210525,0.06666666666666667,1050001,True,0.09073452631578582
10,40,3,0.05,0.7,2,0.14736842105263157,0.043478260869565216,1050001,True,0.1338839999999414
10,40,3,0.05,0.7,4,0.18947368421052632,0.03571428571428571,1050001,True,0.2203778947369735
40,20,3,0.5,0.3,8,0.98625,0.25,1000001,True,0.0
10,40,3,0.05,0.7,5,0.25263157894736843,0.05555555555555555,1050001,True,0.10396063157897147
10,40,3,0.05,0.7,6,0.18947368421052632,0.05,1050001,True,0.10409536842108964
10,40,3,0.05,0.7,7,0.22105263157894736,0.045454545454545456,1050001,True,0.12320673684209711
10,40,3,0.05,0.7,8,0.30526315789473685,0.047619047619047616,1050001,True,0.16759915789478996
10,40,3,0.05,0.7,10,0.12631578947368421,0.045454545454545456,1050001,True,0.1272642105262851
10,40,3,0.05,0.7,9,0.24210526315789474,0.04,1050001,True,0.17547136842109104
10,40,3,0.5,0.3,2,0.06,0.023809523809523808,1050001,True,0.9427475999999039
10,40,3,0.5,0.3,3,0.06,0.023809523809523808,1050001,True,0.9380847999998977
10,40,3,0.5,0.3,5,0.06,0.023255813953488372,1050001,True,0.9392971999998945
40,20,3,0.5,0.3,10,0.99625,0.33333333333333337,1000001,True,0.0
10,40,3,0.5,0.3,6,0.04,0.023809523809523808,1050001,True,0.9323255999998874
40,20,3,0.5,0.7,1,0.02125,0.005434782608695652,1000001,True,0.0
40,20,3,0.5,0.7,3,0.0325,0.005917159763313609,1000001,True,0.0
40,20,3,0.5,0.7,4,0.02875,0.005917159763313609,1000001,True,0.0
40,20,3,0.5,0.7,5,0.0225,0.006289308176100628,1000001,True,0.0
10,40,3,0.05,0.3,4,0.05263157894736842,0.013698630136986302,10000000,False,0.9804858947370718
40,20,3,0.5,0.7,6,0.03375,0.006211180124223602,1000001,True,0.0
10,40,3,0.5,0.3,7,0.24,0.03333333333333333,1050001,True,0.8584627999998828
10,40,3,0.5,0.3,8,0.04,0.02127659574468085,1050001,True,0.9415891999998994
40,20,3,0.5,0.7,7,0.02625,0.006535947712418301,1000001,True,0.0
10,40,3,0.5,0.3,9,0.08,0.025,1050001,True,0.9129771999998663
40,20,3,0.5,0.7,2,0.02875,0.00625,1000001,True,0.0
10,40,3,0.05,0.3,5,0.06315789473684211,0.01694915254237288,10000000,False,0.9584751578951445
