C,F,L,N,alpha,converged,degree_variance,dev_mode,dev_param,dis_threshold,elapsed_s,final_rewire_rate,k,max_steps,mean_dissatisfaction,num_clusters,p,q,s_max,seed,total_steps,trial_id,weight_mode
0.10870009837656895,5,3.603758389261745,150,0.5,False,10.186666666666667,3,0.15,0.7,7.587436500005424,-1.0,4,5000000,0.05609034424026807,1,0.05,10,1.0,42,5000000,b12515183381,0
0.09562962962962958,5,3.9467561521252796,150,0.5,False,1.76,0,0.15,0.7,7.348060699994676,-1.0,4,5000000,0.0058823741733376395,1,0.05,10,1.0,42,5000000,76614d89c895,2
0.07768360506595799,5,3.6103968697596422,150,0.5,False,6.68,2,0.15,0.7,7.550072599988198,-1.0,4,5000000,0.05249281323157468,2,0.05,10,0.98,42,5000000,4ffe85e08dac,2
0.10687301587301583,5,3.9612527964205815,150,0.5,False,1.6666666666666667,3,0.15,0.7,1.9235658000106923,-1.0,4,5000000,0.004685283012825829,1,0.05,10,1.0,42,5000000,578a8b665cf1,2
0.1582539682539682,5,4.1247427293064876,150,0.5,False,1.92,0,0.15,0.7,1.9867959000112023,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,72cf5fd7eb78,3
0.07937765983586416,5,3.584527480500635,150,0.5,False,7.8933333333333335,2,0.15,0.7,1.8947106999985408,-1.0,4,5000000,0.0,2,0.05,10,0.9933333333333333,42,5000000,040336f45ba5,3
0.06383068783068782,5,3.9153467561521254,150,0.5,False,2.506666666666667,3,0.15,0.7,1.903672699991148,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,325cacfe78ac,3
0.09963686073128797,5,3.2740274599542336,150,1.0,False,15.151288888888908,0,0.15,0.3,1.5821476000128314,-1.0,4,5000000,0.2683184104879903,97,0.05,10,0.13333333333333333,42,5000000,f9a610f3cd28,0
0.07104659498207885,5,3.757398753894081,150,1.0,False,7.324266666666666,2,0.15,0.3,1.50791320001008,-1.0,4,5000000,0.2779029909060839,77,0.05,10,0.4,42,5000000,cd4d15f9abcf,0
0.07890356774338468,5,3.5476353666895135,150,1.0,False,11.733155555555555,3,0.15,0.3,1.6800814000016544,-1.0,4,5000000,0.2644463039595971,91,0.05,10,0.08666666666666667,42,5000000,3b04fc81a822,0
0.03177843451546117,5,3.5076880067095333,150,1.0,False,22.10382222222222,0,0.15,0.3,1.7584557999798562,-1.0,4,5000000,0.0037007018918888937,4,0.05,10,0.98,42,5000000,faaf5b8f489e,2
0.053413978494623655,5,3.5040941658137155,150,1.0,False,7.276622222222238,2,0.15,0.3,1.587589200004004,-1.0,4,5000000,0.00493469832883329,45,0.05,10,0.4,42,5000000,a012e0c98139,2
0.06543465386636328,5,3.270026216137489,150,1.0,False,22.079999999999973,3,0.15,0.3,1.7894883999833837,-1.0,4,5000000,0.0027887089553945686,5,0.05,10,0.96,42,5000000,67661315829f,2
0.012851851851851852,5,3.615922485266207,150,1.0,False,5.773333333333333,0,0.15,0.3,1.9044354000070598,-1.0,4,5000000,0.0,9,0.05,10,0.9466666666666667,42,5000000,0a2ea2895397,3
0.17822158218125955,5,2.287215411558669,150,1.0,False,16.505600000000005,2,0.15,0.3,1.4370334999985062,-1.0,4,5000000,0.0,90,0.05,10,0.3933333333333333,42,5000000,dd4f60f5bfe2,3
0.010586820586820585,5,3.3712690817953974,150,1.0,False,8.0,3,0.15,0.3,1.8855970000149682,-1.0,4,5000000,0.0,18,0.05,10,0.8866666666666667,42,5000000,bdd46efa8e86,3
0.1523217344059449,5,3.0809381061541172,150,1.0,False,19.76888888888891,0,0.15,0.5,1.7318296000012197,-1.0,4,5000000,0.09726730165156451,44,0.05,10,0.7133333333333334,42,5000000,3d2451b1cdfd,0
0.12574027137736812,5,4.208230776804174,150,1.0,False,12.835733333333394,2,0.15,0.5,1.8827057000016794,-1.0,4,5000000,0.3134890719065076,28,0.05,10,0.41333333333333333,42,5000000,55e7cd12d6f2,0
